x,y,z
0.16567,0.13117,1.2192
0.16985,0.12804,1.2234
0.16253,0.13013,1.2213
0.16567,0.13222,1.2203
0.16671,0.13117,1.2224
0.16253,0.12595,1.2213
0.16567,0.13744,1.2213
0.16671,0.13326,1.2234
0.16567,0.12595,1.2245
0.16985,0.13013,1.2161
0.16357,0.12804,1.2151
0.17403,0.12908,1.2171
0.16357,0.13117,1.2161
0.1688,0.12595,1.213
0.16776,0.12804,1.2171
0.16357,0.12386,1.2224
0.16776,0.12908,1.2151
0.16567,0.12908,1.2151
0.16671,0.12699,1.2119
0.16776,0.12595,1.2119
0.15939,0.13431,1.2224
0.1688,0.13326,1.2151
0.16567,0.12595,1.2171
0.16776,0.12281,1.2161
0.1688,0.12804,1.2213
0.16148,0.13222,1.2203
0.1688,0.12804,1.2203
0.16567,0.12804,1.2224
0.16671,0.13222,1.2161
0.1688,0.13117,1.2161
0.1688,0.13013,1.2255
0.16462,0.12699,1.2213
0.16044,0.12699,1.2245
0.15939,0.13117,1.2213
0.16567,0.12908,1.2224
0.16044,0.12595,1.2203
0.16044,0.13117,1.2192
0.16671,0.12908,1.2255
0.16148,0.12908,1.2224
0.16776,0.12908,1.2213
0.16253,0.13117,1.2151
0.1688,0.12699,1.2161
0.16567,0.12699,1.213
0.1688,0.12908,1.2245
0.16253,0.13326,1.214
0.1688,0.13117,1.2182
0.16985,0.12908,1.2151
0.16148,0.12699,1.2161
0.16776,0.12595,1.2151
0.16776,0.12386,1.2203
0.1688,0.1249,1.2213
0.16671,0.13013,1.214
0.16357,0.12699,1.2203
0.16567,0.12699,1.2203
0.1688,0.13326,1.2213
0.16776,0.13535,1.2151
0.16776,0.13117,1.213
0.16985,0.12908,1.2234
0.16776,0.12804,1.2161
0.16671,0.12595,1.2171
0.16985,0.13013,1.2171
0.1688,0.12804,1.2171
0.16253,0.13431,1.2171
0.16776,0.13326,1.2255
0.16253,0.12699,1.2203
0.16567,0.12908,1.2234
0.17089,0.12699,1.2224
0.16462,0.12699,1.2203
0.16985,0.12595,1.2213
0.16776,0.12804,1.2182
0.16776,0.13326,1.2182
0.16462,0.12804,1.2192
0.16567,0.13013,1.2192
0.17089,0.13117,1.2151
0.16253,0.13222,1.2182
