x,y,z
0.096681,0.14163,1.2046
0.089365,0.14476,1.2088
0.095636,0.14476,1.2067
0.087275,0.14685,1.2067
0.093546,0.14999,1.2056
0.085184,0.14058,1.2119
0.093546,0.14163,1.2056
0.092501,0.15103,1.2098
0.09041,0.14372,1.2098
0.091455,0.14476,1.214
0.096681,0.14685,1.2098
0.09041,0.14581,1.2046
0.095636,0.14685,1.2036
0.094591,0.14163,1.2046
0.089365,0.14476,1.2098
0.096681,0.14685,1.2056
0.097727,0.14476,1.2109
0.091455,0.14267,1.2109
0.09041,0.14581,1.2025
0.091455,0.14372,1.2119
0.096681,0.14058,1.2046
0.096681,0.14581,1.2067
0.093546,0.13849,1.2077
0.093546,0.1479,1.2077
0.091455,0.14267,1.2109
0.095636,0.1479,1.2119
0.095636,0.14581,1.2015
0.094591,0.14581,1.2056
0.10504,0.14372,1.213
0.096681,0.14476,1.2067
0.094591,0.14476,1.2046
0.093546,0.14581,1.2109
0.092501,0.14581,1.2077
0.095636,0.14372,1.2067
0.098772,0.14163,1.2067
0.09041,0.14685,1.2077
0.094591,0.14163,1.2098
0.097727,0.14058,1.2067
0.093546,0.14058,1.2109
0.097727,0.15208,1.2015
0.096681,0.14372,1.2077
0.094591,0.14372,1.2255
0.093546,0.14163,1.2077
0.08832,0.14476,1.2077
0.08832,0.15208,1.2067
0.093546,0.13953,1.2098
0.089365,0.14685,1.2109
0.092501,0.14685,1.2088
0.08832,0.14581,1.2056
0.09041,0.14163,1.2046
0.093546,0.14581,1.2119
0.097727,0.14267,1.2056
0.097727,0.14372,1.2067
0.094591,0.14476,1.2109
0.092501,0.14581,1.2077
0.095636,0.14058,1.2088
0.091455,0.14476,1.2088
0.094591,0.14372,1.2119
0.08832,0.15208,1.2088
0.094591,0.14894,1.2025
0.089365,0.13953,1.2088
0.097727,0.13953,1.2056
0.094591,0.13849,1.2056
0.094591,0.14685,1.213
0.097727,0.14267,1.2098
0.094591,0.14476,1.2046
0.09041,0.14372,1.2088
0.091455,0.14476,1.2109
0.094591,0.14476,1.2077
0.09041,0.14163,1.2098
0.089365,0.14685,1.2119
0.092501,0.14372,1.2088
0.089365,0.14372,1.2088
0.091455,0.14267,1.2088
0.093546,0.14685,1.2088
0.089365,0.14581,1.2067
0.10609,0.14476,1.2098
0.092501,0.14894,1.2015
0.095636,0.14581,1.2088
0.094591,0.14581,1.2077
0.094591,0.14372,1.2109
0.09041,0.14581,1.2067
0.08832,0.13953,1.2036
0.093546,0.14267,1.2088
0.094591,0.14267,1.2088
0.084139,0.14058,1.2213
0.09041,0.14372,1.2056
0.091455,0.14267,1.2067
0.093546,0.14685,1.2004
0.092501,0.13953,1.2036
0.095636,0.14581,1.2077
0.094591,0.14581,1.2098
0.092501,0.1479,1.2077
0.099817,0.14685,1.2077
0.092501,0.14999,1.2036
0.091455,0.13744,1.2151
0.093546,0.14163,1.2088
0.095636,0.13849,1.2119
0.093546,0.14267,1.2119
0.086229,0.14581,1.2161
0.093546,0.14581,1.2056
0.09041,0.14685,1.2077
0.092501,0.14999,1.2067
0.095636,0.14894,1.2088
0.092501,0.14058,1.2088
0.093546,0.14581,1.2088
0.091455,0.14267,1.2109
0.094591,0.14163,1.2056
0.091455,0.14476,1.2025
0.093546,0.14476,1.2067
0.095636,0.14476,1.2088
0.094591,0.14267,1.2036
0.091455,0.14372,1.2098
0.096681,0.14685,1.2088
0.08832,0.14476,1.2098
0.099817,0.13953,1.2088
0.095636,0.14267,1.2098
0.09041,0.14372,1.2025
0.097727,0.14581,1.2077
0.095636,0.14476,1.2056
0.093546,0.14163,1.2109
0.092501,0.14581,1.2056
0.098772,0.14267,1.2151
0.094591,0.14581,1.1994
0.092501,0.14476,1.2077
0.095636,0.14476,1.2119
0.092501,0.14476,1.2056
0.095636,0.14581,1.2088
0.094591,0.14476,1.2067
0.094591,0.14685,1.2119
0.091455,0.14476,1.2036
0.098772,0.13953,1.2098
0.091455,0.14685,1.2077
0.092501,0.14372,1.2077
0.089365,0.14267,1.2077
0.09041,0.14581,1.2088
0.094591,0.1479,1.2098
0.09041,0.14372,1.2067
0.093546,0.1479,1.2036
0.091455,0.14685,1.2056
0.089365,0.14581,1.2077
0.094591,0.14267,1.2109
0.096681,0.14163,1.2015
0.092501,0.14476,1.2077
0.092501,0.14894,1.2088
0.093546,0.14685,1.2088
0.086229,0.14581,1.2067
0.093546,0.14894,1.2067
0.092501,0.15521,1.2088
0.091455,0.14685,1.2109
0.09041,0.14581,1.2119
0.089365,0.14372,1.2119
0.09041,0.14476,1.2056
0.087275,0.14372,1.214
0.093546,0.14372,1.2056
0.086229,0.13744,1.2077
0.093546,0.14163,1.2098
0.091455,0.14685,1.2056
0.095636,0.14372,1.2109
0.095636,0.14163,1.2088
0.09041,0.14581,1.2098
0.087275,0.14058,1.2067
0.09041,0.13953,1.2119
0.094591,0.1479,1.2119
0.091455,0.14163,1.2098
0.093546,0.14685,1.2004
0.097727,0.14476,1.2088
0.089365,0.14372,1.2077
0.094591,0.14581,1.2109
0.089365,0.14163,1.2109
0.10191,0.14476,1.213
0.091455,0.14372,1.2098
0.095636,0.14685,1.2036
0.099817,0.14476,1.2077
0.093546,0.14685,1.2036
0.095636,0.14581,1.2088
0.094591,0.14267,1.2056
0.092501,0.14894,1.2056
0.089365,0.14476,1.2056
0.094591,0.14267,1.2098
0.091455,0.13953,1.2046
0.094591,0.14267,1.2056
0.092501,0.14476,1.213
0.082049,0.14372,1.2025
0.094591,0.14058,1.2067
0.09041,0.14163,1.2182
0.097727,0.14058,1.2056
0.092501,0.14372,1.2046
0.077868,0.14267,1.2088
0.096681,0.14476,1.2098
0.092501,0.14685,1.2056
0.093546,0.14163,1.2077
0.094591,0.14581,1.2036
0.094591,0.14058,1.214
0.10086,0.14476,1.214
0.089365,0.14163,1.2088
0.087275,0.14058,1.2088
0.10086,0.14581,1.2109
0.093546,0.13849,1.2077
0.093546,0.14581,1.2109
0.09041,0.14163,1.2109
0.089365,0.14685,1.2067
0.094591,0.14372,1.2036
0.091455,0.14476,1.213
0.096681,0.14372,1.2015
0.091455,0.14685,1.2046
0.094591,0.14058,1.1994
0.095636,0.14267,1.2004
0.094591,0.13953,1.2109
0.095636,0.14372,1.2077
0.093546,0.14581,1.2036
0.095636,0.14581,1.2025
0.092501,0.14476,1.2088
0.09041,0.14267,1.2056
0.085184,0.14685,1.2015
0.085184,0.14476,1.2161
0.093546,0.14267,1.2056
0.094591,0.14372,1.2109
0.087275,0.14581,1.2056
0.08832,0.14476,1.2098
0.092501,0.14685,1.2088
0.095636,0.14685,1.2098
0.094591,0.14476,1.213
0.093546,0.14581,1.2088
0.09041,0.14581,1.2088
0.093546,0.13953,1.2098
0.089365,0.14372,1.2036
0.093546,0.14267,1.2077
0.095636,0.1479,1.2077
0.094591,0.1479,1.2109
0.087275,0.14163,1.2098
0.091455,0.14581,1.2119
0.096681,0.14581,1.1941
0.091455,0.14685,1.213
0.096681,0.14581,1.2046
0.095636,0.14476,1.2025
0.092501,0.1479,1.2109
0.091455,0.14476,1.2098
0.096681,0.14267,1.2077
0.085184,0.14476,1.2077
0.093546,0.14581,1.2036
0.091455,0.13953,1.2056
0.092501,0.14685,1.2088
0.094591,0.14058,1.2015
0.086229,0.14372,1.2036
0.094591,0.1479,1.2067
0.091455,0.14163,1.2067
0.095636,0.14267,1.2098
0.092501,0.14581,1.2098
0.093546,0.14685,1.2046
0.08832,0.14267,1.2025
0.096681,0.14476,1.2119
0.091455,0.14476,1.2046
0.095636,0.14476,1.2098
0.09041,0.14163,1.2036
0.094591,0.13744,1.2098
0.091455,0.14476,1.2015
0.092501,0.14476,1.2098
0.097727,0.14163,1.2119
0.092501,0.14372,1.2098
0.095636,0.14372,1.2056
0.096681,0.14058,1.2098
0.094591,0.14894,1.2067
0.095636,0.14581,1.2077
0.091455,0.14058,1.2067
0.095636,0.14163,1.1941
0.09041,0.14894,1.2077
0.091455,0.14163,1.2046
0.08832,0.1479,1.2067
0.096681,0.14372,1.2036
0.094591,0.14267,1.2119
0.095636,0.14581,1.2109
0.097727,0.14476,1.2067
0.099817,0.13849,1.2036
0.091455,0.14476,1.2109
0.093546,0.14476,1.2077
0.093546,0.14058,1.2088
0.093546,0.14476,1.2109
0.095636,0.14372,1.1941
0.094591,0.13953,1.2088
0.09041,0.14372,1.2077
0.089365,0.14685,1.2056
0.095636,0.14267,1.2098
0.096681,0.14372,1.2056
0.096681,0.14372,1.2088
0.095636,0.14476,1.2056
0.094591,0.14372,1.2056
0.091455,0.1479,1.2119
0.095636,0.14267,1.2151
0.093546,0.15103,1.2036
0.09041,0.14267,1.2067
0.096681,0.13953,1.2067
0.095636,0.14372,1.2098
0.094591,0.14163,1.2098
0.094591,0.14894,1.2015
0.095636,0.14581,1.2119
0.096681,0.14058,1.2056
0.09041,0.15208,1.2015
0.094591,0.14581,1.2098
0.091455,0.13849,1.2077
0.093546,0.14372,1.213
0.09041,0.14163,1.2036
0.097727,0.14372,1.2025
0.089365,0.14476,1.2046
0.095636,0.14894,1.2067
0.092501,0.13953,1.2119
0.091455,0.14372,1.2109
0.09041,0.14581,1.2036
0.087275,0.1479,1.213
0.093546,0.13535,1.2025
0.09041,0.14058,1.2046
0.092501,0.14163,1.2098
0.096681,0.14267,1.2067
0.10609,0.13953,1.2036
0.094591,0.14476,1.2109
0.095636,0.14685,1.2046
0.095636,0.14685,1.2088
0.09041,0.14267,1.2046
0.093546,0.14372,1.2119
0.096681,0.1479,1.2151
0.091455,0.14372,1.2067
0.096681,0.14685,1.2067
0.092501,0.14476,1.2036
0.094591,0.14581,1.2056
0.093546,0.14685,1.2077
0.092501,0.14685,1.2046
0.094591,0.14163,1.2088
0.091455,0.14372,1.2109
0.094591,0.14372,1.2025
0.09041,0.14581,1.2109
0.09041,0.14581,1.2046
0.086229,0.14372,1.2077
0.094591,0.14685,1.2088
0.097727,0.14476,1.2067
0.091455,0.14476,1.2098
0.098772,0.14267,1.2046
0.091455,0.14372,1.2036
0.09041,0.14372,1.2025
0.094591,0.14894,1.2036
0.092501,0.14476,1.2109
0.093546,0.15103,1.2004
0.09041,0.13744,1.2067
0.093546,0.14894,1.2046
0.094591,0.14581,1.2098
0.096681,0.14685,1.2119
0.092501,0.14476,1.2056
0.098772,0.14058,1.2015
0.09041,0.14267,1.2036
0.093546,0.14476,1.2119
0.092501,0.14267,1.2119
0.094591,0.1479,1.2056
0.094591,0.14581,1.2109
0.095636,0.14476,1.2161
0.094591,0.14476,1.2036
0.094591,0.14581,1.2088
0.091455,0.14999,1.213
0.093546,0.14476,1.2025
0.091455,0.14372,1.2098
0.094591,0.14581,1.2067
0.08832,0.14581,1.2077
0.087275,0.14267,1.2067
0.097727,0.14894,1.2098
0.097727,0.14581,1.2098
0.092501,0.14999,1.2151
0.092501,0.14894,1.2109
0.093546,0.14372,1.2088
0.091455,0.14372,1.1952
0.098772,0.14894,1.2067
0.097727,0.14267,1.2088
0.094591,0.14581,1.2119
0.09041,0.14581,1.2025
0.092501,0.14581,1.2077
0.08832,0.14267,1.2046
0.097727,0.1479,1.2088
0.09041,0.14267,1.2109
0.08832,0.14476,1.2088
0.096681,0.14999,1.2077
0.094591,0.14581,1.2036
0.093546,0.14163,1.2119
0.086229,0.14267,1.2004
0.092501,0.14058,1.2088
0.09041,0.14267,1.2067
0.092501,0.14058,1.2077
0.095636,0.14163,1.2067
0.096681,0.14163,1.2088
0.095636,0.14267,1.2025
0.097727,0.14267,1.2067
0.095636,0.14372,1.2015
0.091455,0.14581,1.2088
0.096681,0.14267,1.1994
0.092501,0.14267,1.2046
0.087275,0.14372,1.2119
0.092501,0.14372,1.2067
0.087275,0.14163,1.2098
0.096681,0.14372,1.2067
0.096681,0.14372,1.2098
0.097727,0.14372,1.2119
0.097727,0.1479,1.214
0.095636,0.14163,1.2056
0.085184,0.14476,1.2046
0.089365,0.14372,1.2067
0.097727,0.15208,1.2077
0.08832,0.14163,1.2088
0.095636,0.14581,1.2056
0.096681,0.1479,1.2036
0.089365,0.14163,1.2004
0.093546,0.14685,1.1994
0.09041,0.13849,1.2067
0.095636,0.13953,1.2067
0.09041,0.14267,1.2119
0.092501,0.13953,1.2077
0.093546,0.14581,1.2077
0.096681,0.14685,1.2077
0.096681,0.1479,1.2077
0.094591,0.14372,1.2004
0.094591,0.14372,1.2025
0.097727,0.14476,1.2056
0.098772,0.14267,1.2182
0.094591,0.13744,1.214
0.095636,0.14581,1.2171
0.094591,0.14372,1.2056
0.08832,0.14476,1.2088
0.087275,0.14476,1.2088
0.096681,0.14058,1.2098
0.091455,0.14581,1.2067
0.087275,0.14372,1.2036
0.095636,0.1479,1.2067
0.092501,0.14581,1.2046
0.092501,0.14685,1.2088
0.092501,0.14267,1.2077
0.096681,0.13849,1.2036
0.09041,0.14058,1.2088
0.095636,0.14581,1.1952
0.097727,0.14267,1.2056
0.075777,0.14581,1.2077
0.095636,0.14163,1.2046
0.093546,0.14581,1.2056
0.089365,0.1479,1.2025
0.091455,0.14581,1.2056
0.095636,0.14267,1.2067
0.089365,0.14372,1.2098
0.091455,0.14163,1.2077
0.096681,0.15208,1.2088
0.092501,0.14058,1.2067
0.085184,0.14476,1.2109
0.09041,0.1479,1.2046
0.085184,0.14058,1.2056
0.09041,0.14685,1.2067
0.097727,0.14372,1.2067
0.092501,0.14058,1.2077
0.09041,0.14894,1.2119
0.095636,0.14267,1.2046
0.093546,0.14163,1.2077
0.095636,0.14581,1.2056
0.095636,0.14267,1.2077
0.089365,0.14163,1.213
0.093546,0.14163,1.2025
0.089365,0.14058,1.2046
0.086229,0.14163,1.2098
0.092501,0.14267,1.2056
0.09041,0.14267,1.2056
0.092501,0.14372,1.2067
0.089365,0.14163,1.2077
0.10191,0.13849,1.2098
0.089365,0.14685,1.2088
0.095636,0.14685,1.2109
0.09041,0.14372,1.2004
0.092501,0.14685,1.2025
0.089365,0.14372,1.2077
0.091455,0.14372,1.2077
0.094591,0.14267,1.2056
0.094591,0.14267,1.2046
0.094591,0.14581,1.2036
0.098772,0.14372,1.2119
0.093546,0.13744,1.2067
0.09041,0.14476,1.2046
0.093546,0.14163,1.2046
0.097727,0.14058,1.2077
0.089365,0.14267,1.2046
0.091455,0.14163,1.2036
0.095636,0.1479,1.2036
0.09041,0.14476,1.2098
0.092501,0.14267,1.213
0.093546,0.14372,1.2046
0.095636,0.14267,1.2067
0.091455,0.14267,1.2077
0.093546,0.14581,1.2067
0.098772,0.14372,1.2119
0.094591,0.14476,1.2036
0.093546,0.14372,1.2119
0.091455,0.14267,1.2109
0.093546,0.14581,1.2036
0.089365,0.14267,1.2098
0.098772,0.14163,1.2088
0.094591,0.13849,1.2098
0.097727,0.14476,1.2036
0.092501,0.14267,1.2015
0.092501,0.14476,1.2067
0.099817,0.13953,1.2067
0.094591,0.14476,1.2046
0.097727,0.14058,1.2067
0.09041,0.1479,1.2119
0.084139,0.14058,1.2067
0.09041,0.15208,1.2119
0.097727,0.14372,1.2088
0.094591,0.14685,1.2098
0.087275,0.14058,1.2098
0.091455,0.14163,1.2067
0.094591,0.14058,1.2046
0.095636,0.14267,1.2067
0.08832,0.14476,1.2119
0.097727,0.14999,1.2067
0.093546,0.14267,1.2046
0.091455,0.14372,1.2077
0.094591,0.14476,1.2171
0.097727,0.14476,1.2056
0.092501,0.14163,1.2056
0.097727,0.14267,1.2046
0.091455,0.14267,1.2077
0.096681,0.1364,1.2036
0.082049,0.14476,1.2224
0.09041,0.14581,1.2088
0.098772,0.14685,1.2077
0.091455,0.13849,1.2025
0.093546,0.14163,1.2088
0.09041,0.14372,1.2046
0.09041,0.14581,1.2109
0.09041,0.14163,1.2088
0.089365,0.14999,1.2046
0.094591,0.14685,1.213
0.093546,0.14999,1.2036
0.093546,0.14372,1.2056
0.094591,0.14476,1.2025
0.094591,0.14685,1.2088
0.096681,0.14581,1.2036
0.093546,0.14581,1.1994
0.097727,0.14476,1.2077
0.094591,0.15312,1.2056
0.093546,0.14581,1.2077
0.089365,0.13849,1.2088
0.095636,0.13953,1.2046
0.09041,0.1479,1.2036
0.094591,0.14476,1.2109
0.095636,0.14372,1.2067
0.096681,0.14372,1.213
0.087275,0.14372,1.2098
0.093546,0.13849,1.213
0.08832,0.14685,1.2025
0.093546,0.14581,1.2088
0.095636,0.14476,1.2119
0.08832,0.14581,1.2036
0.089365,0.14685,1.2098
0.094591,0.14581,1.2098
0.096681,0.13953,1.2088
0.097727,0.14372,1.2067
0.093546,0.14267,1.2067
0.094591,0.14267,1.2088
0.095636,0.14267,1.1973
0.096681,0.14163,1.2046
0.098772,0.14372,1.2004
0.093546,0.14894,1.2077
0.098772,0.14685,1.2015
0.095636,0.1479,1.2077
0.096681,0.14163,1.2098
0.095636,0.14581,1.1962
0.092501,0.14163,1.2056
0.094591,0.13744,1.2245
0.091455,0.14685,1.2109
0.09041,0.14267,1.2067
0.086229,0.14685,1.2056
0.089365,0.14685,1.2067
0.08832,0.14163,1.2119
0.08832,0.13849,1.2046
0.095636,0.14372,1.2088
0.09041,0.14372,1.2046
0.091455,0.14267,1.2046
0.095636,0.14058,1.2046
0.093546,0.14372,1.1983
0.094591,0.14685,1.2077
0.096681,0.14476,1.2077
0.096681,0.14163,1.2077
0.091455,0.14163,1.2036
0.096681,0.1479,1.2056
0.094591,0.1249,1.2067
0.08832,0.14372,1.2067
0.09041,0.14372,1.1994
0.094591,0.14476,1.2036
0.087275,0.1479,1.2098
0.092501,0.14163,1.2056
0.095636,0.14476,1.2098
0.091455,0.14894,1.2036
0.092501,0.13849,1.2077
0.086229,0.14267,1.2025
0.096681,0.14267,1.2004
0.094591,0.14372,1.1994
0.093546,0.14476,1.2015
0.094591,0.14267,1.2056
0.099817,0.14999,1.2109
0.091455,0.14163,1.2056
0.095636,0.14058,1.2025
0.096681,0.14267,1.2067
0.096681,0.14685,1.2025
0.095636,0.14267,1.2046
0.092501,0.14476,1.2077
0.089365,0.14476,1.2067
0.091455,0.14894,1.2098
0.09041,0.14163,1.2119
0.094591,0.15521,1.2098
0.10191,0.14163,1.2077
0.097727,0.14476,1.2077
0.089365,0.14476,1.2182
0.096681,0.14372,1.214
0.096681,0.13849,1.2161
0.098772,0.14581,1.214
0.098772,0.13953,1.2098
0.095636,0.14163,1.2046
0.098772,0.14372,1.2056
0.092501,0.14267,1.2015
0.10191,0.14372,1.2161
0.097727,0.1479,1.213
0.10086,0.14372,1.2109
0.091455,0.13849,1.2056
0.093546,0.14372,1.2119
0.096681,0.13953,1.2098
0.091455,0.14372,1.2119
0.092501,0.14267,1.2119
0.097727,0.1479,1.213
0.093546,0.14476,1.213
0.095636,0.14163,1.2119
0.092501,0.14476,1.213
0.094591,0.14685,1.2151
0.098772,0.13953,1.2067
0.098772,0.14267,1.214
0.095636,0.14267,1.2171
0.095636,0.14476,1.2182
0.10086,0.14685,1.2182
0.09041,0.14476,1.2255
0.092501,0.13953,1.2213
0.096681,0.14685,1.2224
0.095636,0.13849,1.2171
0.098772,0.14372,1.2171
0.096681,0.13849,1.2182
0.097727,0.14581,1.2161
0.09041,0.14163,1.2192
0.098772,0.1364,1.2182
0.092501,0.14163,1.2192
0.098772,0.14058,1.213
0.092501,0.14163,1.2171
0.087275,0.1479,1.2109
0.093546,0.15208,1.2077
0.093546,0.14163,1.2098
0.092501,0.14372,1.2098
0.095636,0.14163,1.2067
0.092501,0.14372,1.2077
0.093546,0.14476,1.2056
0.087275,0.15521,1.1952
0.09041,0.15103,1.19
0.09041,0.14058,1.2015
0.087275,0.14372,1.1858
0.089365,0.15939,1.1712
0.086229,0.14685,1.1638
0.089365,0.13744,1.168
0.10191,0.14058,1.167
0.092501,0.13849,1.1732
0.087275,0.14163,1.1826
0.083094,0.14267,1.2004
0.096681,0.14163,1.1941
0.09041,0.14058,1.1962
0.092501,0.15208,1.1983
0.092501,0.14685,1.2015
0.09041,0.1479,1.2067
0.096681,0.14685,1.2255
0.098772,0.14267,1.2328
0.097727,0.14163,1.2349
0.098772,0.14267,1.2328
0.091455,0.14685,1.2422
0.095636,0.14372,1.238
0.092501,0.14685,1.2297
0.095636,0.14581,1.237
0.098772,0.14267,1.2412
0.091455,0.14372,1.2454
0.091455,0.14999,1.2307
0.094591,0.14685,1.2318
0.10191,0.14894,1.2245
0.087275,0.13953,1.2192
0.08832,0.13849,1.1983
0.089365,0.14685,1.2025
0.09041,0.14267,1.1941
0.097727,0.14058,1.1816
0.089365,0.14267,1.1837
0.086229,0.14267,1.19
0.094591,0.14267,1.1753
0.091455,0.14894,1.1753
0.091455,0.1364,1.1659
0.087275,0.14058,1.1722
0.08832,0.14163,1.1785
0.085184,0.14372,1.1764
0.09041,0.13744,1.1879
0.091455,0.14372,1.1921
0.092501,0.14476,1.1973
0.094591,0.13849,1.1962
0.095636,0.14476,1.2015
0.087275,0.14476,1.2161
0.093546,0.14581,1.214
0.084139,0.14894,1.2276
0.093546,0.14058,1.237
0.098772,0.1479,1.2412
0.097727,0.14685,1.2349
0.094591,0.13953,1.2401
0.096681,0.14685,1.237
0.099817,0.14685,1.2339
0.095636,0.14685,1.238
0.098772,0.14058,1.2401
0.097727,0.14685,1.237
0.094591,0.14058,1.2276
0.09041,0.14372,1.2276
0.097727,0.14581,1.213
0.10295,0.13953,1.2025
0.094591,0.14163,1.1952
0.095636,0.1479,1.2004
0.087275,0.14372,1.191
0.08832,0.14476,1.19
0.092501,0.14476,1.1889
0.09041,0.14058,1.1931
0.093546,0.14685,1.1753
0.091455,0.14267,1.1712
0.096681,0.14163,1.1732
0.09041,0.14581,1.1795
0.092501,0.14163,1.1785
0.096681,0.13953,1.1889
0.094591,0.14058,1.1962
0.094591,0.14058,1.1952
0.096681,0.14476,1.1952
0.097727,0.14476,1.2067
0.098772,0.14163,1.2056
0.091455,0.14581,1.214
0.095636,0.14267,1.2234
0.092501,0.14476,1.2339
0.09041,0.14685,1.2401
0.098772,0.14999,1.2391
