x,y,z
0.15626,0.13013,1.2276
0.15417,0.12386,1.2401
0.15312,0.12595,1.2401
0.15103,0.12595,1.237
0.15521,0.13222,1.2475
0.15626,0.12595,1.2527
0.1573,0.12386,1.2569
0.15939,0.12908,1.2652
0.15521,0.13222,1.2663
0.15521,0.1249,1.2704
0.15835,0.12699,1.2767
0.15417,0.12595,1.2757
0.1479,0.12177,1.2767
0.15312,0.12804,1.2736
0.15417,0.12595,1.2778
0.15103,0.12804,1.2736
0.16148,0.1249,1.2663
0.15208,0.13013,1.2579
0.15521,0.12699,1.2516
0.15417,0.12595,1.2475
0.15417,0.1249,1.2495
0.15835,0.12177,1.2391
0.15521,0.12595,1.2391
0.15521,0.13222,1.2307
0.15521,0.12908,1.213
0.15417,0.12699,1.2036
0.15521,0.13117,1.1931
0.15312,0.13326,1.1879
0.14999,0.13953,1.167
0.1479,0.14267,1.1502
0.15417,0.10818,1.1283
0.15939,0.12386,1.1095
0.15208,0.14267,1.0938
0.14999,0.13849,1.0917
0.14999,0.11968,1.0886
0.15417,0.10922,1.0854
0.14999,0.12908,1.0917
0.1479,0.13953,1.1053
0.15208,0.13117,1.1158
0.15103,0.11759,1.1314
0.15521,0.12281,1.1607
0.15417,0.13117,1.1921
0.15521,0.13535,1.2077
0.15939,0.12177,1.2422
0.15312,0.11968,1.2652
0.14999,0.12908,1.2851
0.15103,0.13431,1.3049
0.15312,0.12804,1.3248
0.15626,0.11445,1.3394
0.15835,0.13013,1.3447
0.15521,0.13326,1.3499
0.1573,0.12804,1.3551
0.1573,0.11863,1.3436
0.15626,0.12386,1.33
0.15417,0.12595,1.3185
0.15521,0.13013,1.2976
0.15312,0.12908,1.2757
0.1573,0.11759,1.2569
0.15626,0.12177,1.2276
0.15417,0.13535,1.2067
0.15312,0.12804,1.1743
0.15521,0.12595,1.1513
0.15103,0.12699,1.1346
0.1479,0.13013,1.1158
0.15103,0.12908,1.1011
0.15417,0.11968,1.0938
0.15312,0.12699,1.0896
0.1573,0.11759,1.0886
0.14999,0.13535,1.0938
0.15521,0.13222,1.1043
0.14685,0.12699,1.1199
0.14999,0.12595,1.1367
0.15103,0.12804,1.1597
0.15521,0.12699,1.1889
0.14894,0.12699,1.2098
0.15417,0.12386,1.2286
0.14581,0.12804,1.2631
0.16044,0.12699,1.2819
0.14581,0.12908,1.3039
0.15417,0.12595,1.3196
0.1479,0.10713,1.3332
0.15417,0.13117,1.3415
0.15417,0.12386,1.352
0.15835,0.12699,1.3509
0.16044,0.12804,1.3488
0.15835,0.12386,1.3321
0.14163,0.12699,1.3175
0.16253,0.1249,1.3018
0.15626,0.12804,1.2778
0.15312,0.12281,1.2548
0.14894,0.12699,1.2349
0.15103,0.13013,1.2036
0.15521,0.13326,1.1826
0.14163,0.12595,1.1544
0.14058,0.12281,1.1377
0.15521,0.1249,1.1158
0.1479,0.12699,1.1022
0.15835,0.12177,1.0938
0.14894,0.12804,1.0865
0.14894,0.13013,1.0896
0.15208,0.13013,1.0907
0.14581,0.13013,1.1043
0.15103,0.12177,1.1199
0.1479,0.13744,1.1367
0.14999,0.12595,1.1597
0.15521,0.12595,1.1816
0.14685,0.12595,1.2077
0.15939,0.1249,1.238
0.15417,0.12595,1.261
0.1479,0.13013,1.2778
0.15521,0.12908,1.3008
0.15626,0.12281,1.3206
0.14894,0.12386,1.3321
0.1573,0.1249,1.3415
0.15417,0.1249,1.3509
0.16253,0.12281,1.353
0.15521,0.12386,1.3447
0.15103,0.12804,1.3342
0.15312,0.12804,1.3175
0.1479,0.13013,1.3049
0.15939,0.12595,1.2788
0.15417,0.12386,1.2589
0.14894,0.12908,1.2328
0.1573,0.12804,1.2119
0.15312,0.12595,1.1826
0.15626,0.12804,1.1576
0.1479,0.13953,1.1408
0.15626,0.12072,1.1199
0.16462,0.1134,1.099
0.14372,0.12281,1.0928
0.14581,0.1249,1.0844
0.14999,0.12595,1.0886
0.15626,0.12595,1.0938
0.15103,0.11236,1.099
0.14685,0.12908,1.121
0.15417,0.12804,1.1325
0.14685,0.12804,1.1534
0.15208,0.12804,1.1764
0.15208,0.12386,1.2046
0.1479,0.12908,1.2286
0.14894,0.12595,1.2537
0.1573,0.1249,1.2778
0.15626,0.12281,1.2987
0.15835,0.12595,1.3185
0.15521,0.12072,1.329
0.15939,0.12699,1.3415
0.15521,0.12386,1.3582
0.15939,0.12699,1.3478
0.15626,0.1249,1.3436
0.15939,0.12699,1.3405
0.15208,0.12177,1.3196
0.15417,0.12386,1.3018
0.15521,0.12699,1.2799
0.15417,0.1249,1.26
0.15417,0.12386,1.2328
0.15417,0.12281,1.2056
0.15103,0.1249,1.1816
0.15312,0.1249,1.1617
0.14999,0.12804,1.1367
0.15208,0.13222,1.1231
0.14058,0.14581,1.1022
0.14894,0.1155,1.0938
0.15103,0.12804,1.0865
0.15417,0.12699,1.0865
0.15312,0.12595,1.0949
0.16253,0.12804,1.1011
0.15312,0.12699,1.1137
0.15417,0.12908,1.1356
0.15312,0.12908,1.1565
0.15417,0.12804,1.1732
0.15208,0.12595,1.2015
0.15103,0.12699,1.2276
0.14476,0.12072,1.2558
0.15417,0.13117,1.2757
0.15417,0.13013,1.2934
0.16253,0.12177,1.3112
0.15626,0.11968,1.33
0.15103,0.13013,1.3405
0.16044,0.13013,1.3499
0.15626,0.13013,1.3457
0.15939,0.1249,1.3467
0.16148,0.12386,1.3352
0.15312,0.12595,1.3175
0.15208,0.12699,1.3123
0.16148,0.12595,1.284
0.16985,0.1249,1.26
0.1573,0.12386,1.2328
0.1573,0.12804,1.214
0.15521,0.1249,1.1889
0.15626,0.12072,1.1576
0.14685,0.12595,1.1471
0.15103,0.12281,1.1252
0.15521,0.12177,1.1063
0.15208,0.1364,1.0938
0.14894,0.12072,1.0886
0.15208,0.1249,1.0813
0.14685,0.12281,1.0917
0.15208,0.12595,1.1053
0.14685,0.12804,1.1105
0.14894,0.12281,1.1293
0.15417,0.11968,1.1502
0.14894,0.12386,1.168
0.15312,0.13013,1.1983
0.14894,0.13117,1.2245
0.15835,0.12908,1.2579
0.15312,0.12908,1.2746
0.15103,0.13117,1.2976
0.15417,0.12804,1.3102
0.15521,0.12177,1.3258
0.15208,0.13222,1.3352
0.15835,0.12177,1.3405
0.1573,0.12177,1.3478
0.15835,0.12281,1.3447
0.15626,0.12386,1.3384
0.15312,0.12386,1.3217
0.15417,0.12595,1.307
0.15626,0.12804,1.2893
0.15103,0.12804,1.2589
0.15417,0.12699,1.2401
0.15312,0.13013,1.2119
0.15208,0.13117,1.1868
0.15626,0.12595,1.1617
0.14999,0.13117,1.1408
0.15417,0.13222,1.1262
0.14894,0.12804,1.1074
0.13326,0.12386,1.0949
0.1573,0.13013,1.0928
0.15417,0.12281,1.0907
0.15521,0.1249,1.0886
0.14999,0.1249,1.1011
0.15312,0.12595,1.1158
0.15521,0.12281,1.1283
0.15626,0.13222,1.1471
0.14894,0.13222,1.167
0.1479,0.12699,1.1973
0.15521,0.12386,1.2234
0.15417,0.12386,1.2516
0.15521,0.13013,1.2715
0.14476,0.11759,1.2976
0.14372,0.12908,1.3102
0.15417,0.12699,1.3258
0.15626,0.13326,1.3405
0.1573,0.12804,1.3467
0.15417,0.1249,1.3457
