x,y,z
0.13535,0.14894,1.236
0.13744,0.14685,1.2339
0.13953,0.1479,1.2349
0.14058,0.15103,1.2328
0.14267,0.14685,1.2349
0.13849,0.14999,1.2328
0.13953,0.14999,1.2339
0.13744,0.1479,1.2391
0.13431,0.14476,1.2265
0.1364,0.14267,1.2318
0.14163,0.14372,1.2307
0.13744,0.14999,1.2276
0.13744,0.14685,1.237
0.13535,0.14476,1.236
0.14058,0.14999,1.2318
0.14581,0.14685,1.2339
0.12804,0.14685,1.236
0.14058,0.14685,1.2339
0.14163,0.15626,1.2276
0.12595,0.1479,1.2276
0.14267,0.15103,1.2297
0.14058,0.14894,1.2307
0.13744,0.15208,1.2297
0.13535,0.15103,1.2297
0.13535,0.14894,1.2328
0.13953,0.15103,1.2328
0.13849,0.14894,1.2318
0.14163,0.14685,1.2297
0.13535,0.14999,1.2318
0.14372,0.14894,1.2328
0.14685,0.14581,1.2391
0.14163,0.15312,1.2391
0.13849,0.1479,1.2307
0.14163,0.1479,1.2318
0.13744,0.14685,1.2339
0.14163,0.1479,1.2276
0.14163,0.14581,1.2307
0.1364,0.15103,1.237
0.14267,0.14685,1.2349
0.13849,0.14267,1.236
0.13953,0.15312,1.2286
0.13953,0.14267,1.2307
0.13953,0.14581,1.2286
0.13953,0.1479,1.2297
0.13744,0.14476,1.213
0.13744,0.14999,1.2297
0.13953,0.14476,1.2307
0.14163,0.1479,1.2307
0.14058,0.14685,1.2349
0.13849,0.1479,1.2265
0.13849,0.14999,1.2297
0.1364,0.14267,1.2318
0.14372,0.14581,1.2276
0.14058,0.1479,1.2297
0.14476,0.14685,1.2265
0.13849,0.14999,1.236
0.1364,0.15103,1.2307
0.14058,0.15521,1.2318
0.14163,0.15208,1.2276
0.14267,0.1479,1.2265
0.13326,0.14685,1.2297
0.13326,0.1479,1.2349
0.15312,0.14685,1.2339
0.13744,0.14999,1.2339
0.13744,0.14999,1.237
0.13953,0.15103,1.2318
0.13744,0.14894,1.2297
0.14476,0.15208,1.2328
0.1364,0.1479,1.2307
0.14163,0.14581,1.2349
0.14267,0.14685,1.238
0.1364,0.15103,1.236
0.13953,0.14894,1.2328
0.14058,0.15103,1.238
0.14476,0.14581,1.2307
0.14163,0.15103,1.2297
0.13849,0.1479,1.2339
0.13535,0.14581,1.2339
0.14163,0.14685,1.2265
0.1364,0.14999,1.2276
0.14267,0.14372,1.2307
0.13849,0.14685,1.236
0.14163,0.14685,1.2318
0.13744,0.14999,1.2286
0.13849,0.14581,1.2297
0.14058,0.1479,1.2307
0.13953,0.1479,1.2255
0.13535,0.14894,1.237
0.12595,0.15103,1.2339
0.14372,0.14372,1.2307
0.13744,0.14999,1.2307
0.13849,0.14476,1.2318
0.13953,0.14581,1.2203
0.14476,0.14476,1.237
0.13849,0.14894,1.238
0.13431,0.15208,1.2391
0.14163,0.15208,1.2401
0.14372,0.14476,1.2307
0.14163,0.1479,1.237
0.13953,0.14894,1.2318
0.13849,0.14999,1.2307
0.1364,0.14894,1.236
0.13953,0.1573,1.2307
0.14058,0.14894,1.238
0.13849,0.14267,1.236
0.14267,0.15103,1.2328
0.13953,0.14267,1.2276
0.14372,0.15103,1.2339
0.13744,0.14476,1.2307
0.14685,0.15208,1.2286
0.14372,0.14267,1.2307
0.13953,0.14581,1.2318
0.13535,0.1479,1.2307
0.14163,0.14581,1.2307
0.14372,0.14476,1.2265
0.14163,0.14163,1.2234
0.14058,0.15312,1.2307
0.13849,0.14267,1.2339
0.13744,0.14476,1.2276
0.13744,0.14894,1.2307
0.14267,0.1479,1.2339
0.13849,0.1479,1.2339
0.14476,0.1479,1.2318
0.14267,0.14894,1.236
0.13744,0.14894,1.2339
0.13849,0.1479,1.2307
0.13744,0.15208,1.236
0.13431,0.14685,1.2318
0.14267,0.14163,1.2297
0.14058,0.14685,1.2339
0.14267,0.15103,1.2339
0.13535,0.1479,1.2349
0.14163,0.1479,1.2234
