x,y,z
0.13431,0.14685,1.2234
0.13535,0.14372,1.2245
0.1364,0.15208,1.2119
0.13535,0.15208,1.2182
0.13744,0.14581,1.2182
0.12699,0.14685,1.2182
0.12908,0.14999,1.2213
0.13431,0.14894,1.2192
0.1364,0.15312,1.2234
0.13431,0.14685,1.2192
0.13535,0.14999,1.2182
0.1364,0.14894,1.2182
0.13535,0.14999,1.2109
0.14058,0.15103,1.2119
0.13326,0.14685,1.2182
0.13744,0.14581,1.2203
0.13535,0.14685,1.2151
0.13535,0.15103,1.2119
0.1364,0.15312,1.2109
0.13013,0.14894,1.214
0.13744,0.15208,1.2119
0.13222,0.14999,1.2161
0.12908,0.14894,1.2109
0.13953,0.14581,1.2151
0.13431,0.15312,1.2182
0.13535,0.15208,1.2213
0.13535,0.15103,1.2192
0.13326,0.14476,1.2119
0.13744,0.14894,1.2213
0.12804,0.15417,1.2171
0.13849,0.15103,1.2192
0.13953,0.15312,1.213
0.13222,0.1479,1.2234
0.13431,0.1479,1.2151
0.13744,0.15103,1.2224
0.12386,0.14685,1.2161
0.13326,0.14894,1.213
0.13431,0.14894,1.2224
0.13326,0.15208,1.2192
0.14163,0.1479,1.2213
0.1364,0.15312,1.2192
0.13535,0.15103,1.2213
0.13013,0.14685,1.2192
0.13222,0.14685,1.2213
0.13117,0.15208,1.214
0.13117,0.15208,1.2151
0.13117,0.14581,1.214
0.1364,0.14685,1.2151
0.13431,0.15103,1.2192
0.13431,0.14894,1.213
0.13744,0.1479,1.2119
0.13744,0.15208,1.2119
0.13744,0.15208,1.2171
0.13744,0.14999,1.214
0.13535,0.14894,1.2161
0.1364,0.15312,1.2161
0.13431,0.14685,1.2088
0.13953,0.14999,1.2171
0.13535,0.14894,1.2171
0.1364,0.15103,1.213
0.13013,0.14685,1.2151
0.13222,0.14999,1.2203
0.13326,0.14685,1.2192
0.13431,0.14894,1.2119
0.13117,0.14894,1.2192
0.13744,0.14999,1.2192
0.13535,0.1479,1.2171
0.13013,0.14685,1.2255
0.13535,0.14685,1.2151
0.13222,0.14999,1.2192
0.13222,0.14999,1.2161
0.13326,0.15208,1.2192
0.13117,0.14999,1.2203
0.13535,0.1479,1.2213
0.13117,0.15208,1.2151
0.13849,0.14999,1.2109
0.13222,0.1479,1.213
0.13953,0.14685,1.2077
0.1364,0.14999,1.2171
0.13117,0.14267,1.213
0.12908,0.14685,1.2109
0.13431,0.14372,1.213
0.13535,0.14894,1.214
0.14058,0.1479,1.2119
0.13744,0.14372,1.2119
0.13849,0.1479,1.2067
0.13222,0.14999,1.2119
0.1364,0.15417,1.2182
0.13431,0.15312,1.2224
0.13744,0.15208,1.2161
0.1364,0.15939,1.2224
0.13117,0.15103,1.2245
0.13744,0.14685,1.2182
0.13431,0.14894,1.2182
0.13744,0.14476,1.2171
0.13431,0.14685,1.2171
0.13326,0.14476,1.2213
0.12908,0.14685,1.2265
0.13326,0.15103,1.2119
0.13849,0.15417,1.2224
0.13431,0.15521,1.2224
0.13117,0.14476,1.214
0.13535,0.14894,1.2203
0.13953,0.14894,1.2245
0.13535,0.14894,1.2203
0.1364,0.14894,1.2119
0.12804,0.15208,1.2171
0.13326,0.14685,1.2171
0.13222,0.14999,1.2119
0.13117,0.15208,1.2151
0.13535,0.15208,1.2151
0.13535,0.14476,1.213
0.1364,0.14894,1.2119
0.13326,0.15103,1.2151
0.1364,0.15417,1.2119
0.13431,0.15417,1.214
0.13744,0.15103,1.214
0.13535,0.15312,1.2077
0.13431,0.14581,1.2192
0.13849,0.14685,1.214
0.13117,0.13953,1.2151
0.13117,0.14894,1.2161
0.13744,0.14894,1.2151
0.13117,0.14163,1.2119
0.13535,0.14894,1.2192
0.13326,0.14999,1.2151
0.13117,0.1479,1.2203
0.13431,0.1479,1.2192
0.1364,0.15103,1.2119
0.13535,0.14894,1.2192
0.13744,0.1479,1.2171
0.13326,0.15312,1.2182
0.12804,0.14999,1.2192
0.13222,0.14894,1.2213
0.13117,0.14894,1.2224
0.13013,0.15312,1.2192
0.13326,0.14685,1.2171
0.13222,0.15103,1.2182
0.13431,0.15312,1.2182
0.12908,0.15103,1.2182
0.13744,0.15417,1.2192
0.13326,0.14372,1.2109
0.13117,0.14894,1.2109
0.13117,0.14581,1.2077
0.13535,0.14894,1.2098
0.12177,0.14685,1.2151
0.13849,0.14476,1.2119
0.13431,0.15312,1.214
0.13117,0.15103,1.213
0.13326,0.15103,1.2119
0.13535,0.15208,1.2109
0.13535,0.15103,1.2161
0.13849,0.15103,1.214
0.14058,0.1479,1.2109
0.13953,0.14476,1.2234
0.13326,0.1479,1.2171
0.13222,0.14581,1.2161
0.13013,0.14894,1.2171
0.13535,0.14685,1.2192
0.13431,0.14999,1.2171
0.13431,0.14894,1.2151
0.12804,0.15312,1.2213
0.13431,0.15208,1.2161
0.12908,0.15208,1.2203
0.13849,0.1479,1.2171
0.1364,0.14685,1.2203
0.13431,0.14999,1.2151
0.13117,0.14894,1.2203
0.13535,0.15208,1.2161
0.12804,0.14894,1.2203
0.14058,0.1479,1.2151
0.13326,0.15208,1.2119
0.13744,0.15208,1.2151
0.13431,0.14372,1.2151
0.13222,0.14999,1.2056
0.13535,0.14476,1.2203
0.13535,0.14685,1.2161
0.13431,0.15103,1.2161
0.13222,0.14894,1.213
0.13744,0.15312,1.2182
0.13431,0.14894,1.2265
0.13953,0.14581,1.2109
0.13535,0.1479,1.2182
0.1364,0.14685,1.2182
0.13117,0.15208,1.2109
0.13744,0.14894,1.2119
0.13744,0.14894,1.2151
0.13013,0.14894,1.2088
0.13013,0.14476,1.2171
0.13431,0.14894,1.2192
0.13849,0.15103,1.2171
0.13953,0.1479,1.2171
0.14058,0.1479,1.2182
0.13431,0.15521,1.2119
0.13326,0.14999,1.2255
0.13326,0.14581,1.2213
0.13222,0.15103,1.2161
0.13744,0.14685,1.2182
0.13326,0.14894,1.2192
0.1364,0.14476,1.2224
0.13953,0.15312,1.2161
0.13431,0.14685,1.2171
0.13117,0.15417,1.2224
0.13117,0.14581,1.2151
0.13431,0.14894,1.2119
0.13222,0.1479,1.2151
0.1364,0.14999,1.2161
0.13013,0.15103,1.213
0.13535,0.14894,1.2192
0.1364,0.15103,1.214
0.13431,0.14476,1.2161
0.13326,0.15103,1.2088
0.13535,0.15208,1.2098
0.13535,0.14476,1.213
0.13849,0.14476,1.2151
0.13013,0.14685,1.2151
0.13431,0.1479,1.2119
0.13953,0.1479,1.2098
0.13744,0.15208,1.2151
0.14058,0.1479,1.2203
0.13953,0.14894,1.2192
0.13849,0.14894,1.2192
0.13117,0.14581,1.2161
0.13535,0.14581,1.2213
0.13953,0.15103,1.2182
0.13849,0.15103,1.2213
0.13222,0.14999,1.2192
0.13431,0.14372,1.2192
0.1364,0.14685,1.2265
0.12804,0.14685,1.2171
0.13431,0.14685,1.2192
0.12908,0.14581,1.214
0.13953,0.14999,1.2182
0.13013,0.14685,1.2171
0.13744,0.15417,1.2182
0.13744,0.1479,1.213
0.13431,0.1479,1.2151
0.13535,0.15521,1.2171
0.13222,0.14999,1.2151
0.13953,0.14999,1.213
0.14058,0.14476,1.214
0.13222,0.14685,1.2161
0.14058,0.1479,1.213
0.12699,0.1479,1.2182
0.13431,0.14894,1.2151
0.13431,0.14894,1.2203
0.13431,0.15312,1.214
0.1364,0.1479,1.213
0.13744,0.15103,1.214
0.13326,0.14894,1.213
0.13744,0.15312,1.214
0.13326,0.14581,1.2203
0.13431,0.15103,1.2192
0.13849,0.14999,1.2213
0.13744,0.14685,1.2161
0.1249,0.15208,1.2213
0.13431,0.15312,1.2182
0.14058,0.1479,1.2161
0.13431,0.15103,1.2192
0.13744,0.14372,1.2151
0.13431,0.14999,1.2192
0.13117,0.14267,1.2192
0.13431,0.15103,1.2192
0.13222,0.14999,1.2161
0.13222,0.14581,1.2213
0.13222,0.14999,1.2171
0.13326,0.14476,1.213
0.13431,0.1479,1.2192
0.13326,0.14999,1.2151
0.14058,0.14476,1.2182
0.13117,0.15521,1.2109
0.13326,0.1479,1.2119
0.13535,0.14581,1.2077
0.13535,0.14894,1.2161
0.13535,0.15208,1.2119
0.13117,0.15521,1.2109
0.13431,0.15103,1.214
0.13744,0.15208,1.213
0.13535,0.14372,1.2161
0.13326,0.14581,1.213
0.13849,0.1479,1.2182
0.13953,0.14999,1.2182
0.13535,0.14999,1.2171
0.13535,0.15208,1.2151
0.14163,0.14581,1.2171
0.13535,0.1479,1.2171
0.13117,0.14476,1.2213
0.13953,0.14685,1.2192
0.14058,0.1479,1.2161
0.13849,0.14999,1.2151
0.13222,0.15103,1.2182
0.13535,0.14894,1.2151
0.1364,0.14372,1.2171
0.13431,0.1479,1.2182
0.13117,0.14476,1.2224
0.1364,0.14894,1.2161
0.13326,0.14476,1.2182
0.13117,0.15208,1.2171
0.13117,0.15208,1.2161
0.13535,0.15103,1.214
0.13326,0.14476,1.2192
0.13326,0.14894,1.2109
0.13326,0.14999,1.2171
0.13117,0.14372,1.1941
0.13326,0.14581,1.2151
0.13953,0.14685,1.2088
0.13431,0.1479,1.2161
0.13744,0.14581,1.2171
0.1364,0.15417,1.1941
0.13431,0.14999,1.2088
0.13222,0.14999,1.2182
0.13431,0.14999,1.213
0.13117,0.15103,1.2213
0.1364,0.15103,1.2182
0.13117,0.14894,1.2151
0.13744,0.14685,1.214
0.13117,0.14685,1.2161
0.13535,0.14894,1.2161
0.12699,0.14372,1.2203
0.1364,0.14685,1.2192
0.13849,0.1479,1.2234
0.13431,0.1479,1.2203
0.13013,0.14581,1.2025
0.13431,0.14581,1.2192
0.13222,0.14894,1.2203
0.13431,0.14999,1.2119
0.13326,0.15312,1.2213
0.13117,0.14476,1.214
0.13535,0.15312,1.2245
0.13849,0.1479,1.2245
0.12699,0.1479,1.213
0.13535,0.14894,1.214
0.13849,0.14685,1.2203
0.13535,0.14894,1.2151
0.13326,0.15626,1.2182
0.13535,0.14999,1.2119
0.13326,0.15208,1.2119
0.13535,0.1479,1.2119
0.13431,0.14999,1.213
0.1364,0.14685,1.2098
0.13953,0.15208,1.2109
0.13431,0.14581,1.1952
0.13535,0.14894,1.2171
0.13222,0.14999,1.2119
0.13326,0.15103,1.2109
0.13326,0.14685,1.2088
0.13222,0.15208,1.2088
0.13117,0.14581,1.2171
0.13013,0.1479,1.2151
0.13326,0.14894,1.214
0.13535,0.15208,1.2171
0.13013,0.14894,1.2161
0.13326,0.14685,1.2151
0.13222,0.14267,1.2192
0.1364,0.14267,1.2171
0.13117,0.14476,1.2203
0.13013,0.15417,1.2203
0.1364,0.14999,1.2192
0.13326,0.15626,1.2151
0.12804,0.14999,1.2182
0.1364,0.14685,1.2161
0.13326,0.15417,1.214
0.13744,0.15208,1.2192
0.13013,0.14999,1.2119
0.13222,0.1479,1.2119
0.1364,0.14894,1.214
0.13535,0.14685,1.2119
0.13535,0.15103,1.2151
0.13117,0.14581,1.2088
0.13431,0.14999,1.2109
0.13326,0.15103,1.2151
0.13849,0.14476,1.2067
0.1364,0.15417,1.2151
0.13222,0.14894,1.213
0.13326,0.14894,1.2151
0.13535,0.14685,1.2182
0.13013,0.14894,1.2192
0.13535,0.15208,1.2234
