x,y,z
2012,2012,3044
2022,2010,3043
2014,2011,3043
2021,2010,3042
2015,2010,3047
2019,2014,3052
2019,2008,3052
2015,2001,3047
2026,2013,3050
2016,2014,3045
2015,2010,3049
2019,2013,3054
2020,2029,3054
2017,2014,3054
2011,2017,3056
2000,2009,3054
2022,2011,3055
2018,2013,3063
2017,2016,3062
2017,2011,3063
2024,2008,3064
2017,2014,3065
2023,2012,3074
2013,2009,3065
2024,2012,3067
2016,2010,3079
2019,2008,3077
2016,2008,3076
2017,2013,3074
2020,2011,3080
2002,2009,3082
2018,2014,3081
2021,2000,3086
2016,2016,3093
2017,2005,3092
2021,2012,3088
2016,2012,3096
2016,2015,3096
2015,2015,3090
2021,2010,3100
2015,2014,3103
2018,2012,3104
2019,2009,3107
2021,2016,3110
2015,2011,3103
2030,2010,3117
2015,2009,3114
2016,2011,3118
2016,2009,3116
2017,2012,3118
2000,2012,3120
2020,2014,3121
2016,2005,3122
2015,2010,3120
2015,2012,3122
2031,2015,3127
2012,2016,3124
2019,2011,3125
2016,2010,3131
2011,2012,3131
2031,2009,3134
2015,2008,3129
2011,2017,3130
2012,2011,3132
2020,2012,3135
2013,2014,3132
2028,2015,3136
2013,2012,3131
2013,2010,3138
2015,2009,3138
2021,2014,3136
2016,2010,3139
2015,2010,3138
2013,2010,3142
2010,2012,3137
2015,2014,3129
2015,2015,3134
2016,2011,3135
2015,2013,3139
2017,2016,3134
2014,2014,3135
2017,2011,3136
2015,2008,3132
2017,2014,3131
2017,2016,3132
2012,2011,3134
2015,2015,3133
2018,2008,3131
2012,2015,3131
2013,2014,3127
2017,2010,3122
2011,2011,3125
2016,2013,3123
2013,2015,3126
2015,2010,3120
2009,2012,3119
2013,2013,3114
2016,2013,3115
2017,2010,3116
2012,2015,3109
2012,2012,3118
2012,2011,3112
2011,2014,3115
2015,2011,3109
2021,2012,3101
2015,2013,3105
2019,2011,3103
2013,2012,3103
2018,2012,3099
2017,2014,3097
2015,2012,3095
2013,2013,3096
2009,2010,3090
2011,2007,3090
2021,2010,3095
2017,2016,3087
2014,2014,3084
2020,2016,3080
2018,2016,3081
2018,2014,3078
2021,2012,3079
2018,2014,3074
2021,2011,3073
2015,2014,3066
2019,2011,3066
2017,2014,3066
2021,2015,3068
2016,2021,3065
2013,2015,3066
2019,2008,3061
2018,2016,3060
2020,2013,3059
2026,2015,3058
2020,2008,3060
2016,2016,3056
2018,2011,3054
2017,2014,3054
2018,2015,3051
2018,2012,3054
2022,2011,3051
2014,2003,3051
2017,2009,3045
2012,2015,3051
2013,2010,3050
2018,2010,3047
2018,2012,3048
2019,2007,3046
2017,2010,3044
2017,2010,3048
2018,2012,3046
2024,2014,3048
2020,2010,3044
2026,2011,3049
2015,2013,3040
2018,2011,3047
2019,2011,3048
2015,2013,3044
2018,2012,3049
2017,2013,3050
2016,2009,3051
2011,2012,3051
2018,2009,3047
2018,2009,3046
2008,2010,3055
2022,2011,3050
2023,2012,3057
2020,2013,3060
2016,2008,3056
2016,2015,3061
2007,2008,3057
2016,2008,3060
2018,2010,3061
2018,2010,3061
2021,2014,3063
2012,2016,3070
2022,2014,3069
2021,2014,3070
2012,2011,3073
2018,2009,3069
2014,2014,3075
2019,2012,3073
2018,2010,3078
2017,2015,3078
2013,2015,3084
2015,2014,3090
2014,2016,3086
2020,2009,3085
2018,2012,3096
2016,2017,3093
2019,2014,3093
2011,2013,3097
2017,2016,3095
2019,2007,3094
2018,2014,3100
2017,2015,3105
2016,2011,3108
2014,2016,3104
2017,2013,3106
2017,2012,3114
2013,2013,3103
2020,2011,3106
2020,2008,3111
2019,2009,3117
2016,2013,3115
2019,2012,3119
2014,2009,3117
2017,2012,3124
2014,2012,3125
2018,2013,3121
2007,2013,3122
2018,2009,3126
2018,2011,3130
2010,2011,3128
2020,2011,3135
2019,2009,3123
2009,2014,3131
2014,2011,3132
2017,2017,3136
2017,2014,3130
2017,2010,3131
2012,2010,3132
2015,2008,3137
2014,2020,3132
2009,2014,3135
2012,2017,3137
2009,2009,3140
2009,2009,3133
2010,2008,3135
2014,2012,3129
2016,2015,3133
2014,2001,3136
2016,2012,3130
2014,2009,3131
2014,2008,3136
2008,2009,3129
2014,2010,3138
2012,2013,3131
2015,2013,3128
2009,2010,3129
2013,2013,3132
2008,2011,3127
2016,2013,3127
2010,2006,3129
2014,2017,3129
2012,2013,3125
2012,2011,3120
2009,2011,3128
2010,2011,3115
2000,2018,3119
2022,2012,3121
2018,2011,3118
2019,2008,3114
2014,2015,3114
2013,2011,3109
2017,2013,3110
2022,2012,3106
2015,2012,3104
2016,2011,3100
2017,2014,3104
2014,2012,3100
2014,2014,3100
2014,2014,3097
2013,2012,3094
2017,2012,3095
2014,2011,3094
2015,2012,3089
2014,2014,3075
2014,2015,3090
2011,2010,3084
2013,2009,3086
2018,2014,3088
2013,2011,3078
2018,2012,3078
2020,2012,3076
2020,2013,3068
2011,2016,3077
2013,2012,3074
2014,2012,3071
2015,2014,3070
2018,2011,3066
2017,2011,3069
2021,2011,3068
2018,2012,3060
2017,2009,3063
2019,2012,3059
2017,2010,3059
2020,2012,3055
2018,2013,3051
2018,2010,3053
2020,2012,3056
2018,2012,3053
2018,2014,3055
2022,2013,3056
2019,2007,3054
2019,2011,3050
2022,2008,3051
2020,2012,3046
2022,2010,3060
2018,2012,3051
2020,2017,3050
2017,2012,3051
2020,2012,3048
2020,2013,3047
2021,2011,3046
2016,2018,3050
2018,2010,3052
2012,2014,3065
2014,2014,3050
2017,2019,3052
2021,2010,3055
2021,2014,3054
2018,2011,3057
2017,2011,3060
2023,2009,3056
2015,2013,3055
2018,2012,3054
2020,2014,3058
2016,2011,3065
2019,2010,3059
2013,2009,3064
2024,2015,3062
2016,2014,3061
2019,2011,3065
2010,2017,3064
2016,2019,3067
2017,2016,3070
2016,2013,3073
2015,2016,3067
2019,2010,3074
2010,2008,3070
2014,2013,3074
2017,2015,3082
2014,2009,3079
2014,2012,3083
2013,2010,3084
2021,2012,3086
2014,2010,3084
2012,2010,3084
2017,2010,3094
2017,2013,3090
2016,2011,3089
2000,2012,3097
2015,2015,3091
2017,2015,3103
2018,2014,3099
2013,2011,3100
2019,2013,3103
2017,2011,3102
2013,2007,3110
2013,2012,3108
2016,2008,3105
2001,2010,3108
2013,2010,3114
2010,2012,3116
2011,2012,3119
2011,2012,3118
2013,2012,3118
2016,2014,3120
2011,2013,3122
2016,2011,3129
2022,2016,3131
2008,2012,3129
2022,2019,3133
2005,2016,3132
2008,2009,3135
2021,2010,3134
2014,2014,3131
